contig,start,end,reads,pct_of_aligned
CM148777.1,1426,6889,20116403,27.5980
JBQVBD010000012.1,2306888,2317346,16136935,22.1385
JBQVBD010000012.1,2337829,2346320,8180144,11.2225
JBQVBD010000012.1,2319403,2327374,8073893,11.0767
JBQVBD010000012.1,2328403,2337073,7924776,10.8721
JBQVBD010000012.1,2297738,2304166,3197884,4.3872
CM148777.1,36791,41721,884282,1.2132
CM148777.1,53040,64068,117960,0.1618
JBQVBD010000016.1,3889858,3891635,90258,0.1238
JBQVBD010000011.1,2523268,2524404,57117,0.0784
JBQVBD010000011.1,863029,865047,42964,0.0589
JBQVBD010000016.1,3608317,3609011,42397,0.0582
JBQVBD010000017.1,794310,795074,37927,0.0520
JBQVBD010000017.1,3015241,3015710,35739,0.0490
JBQVBD010000015.1,2722045,2722541,30629,0.0420
JBQVBD010000017.1,2950493,2950727,30350,0.0416
JBQVBD010000011.1,2725710,2726997,27221,0.0373
JBQVBD010000009.1,2321018,2322281,25882,0.0355
CM148777.1,19221,26775,25643,0.0352
JBQVBD010000017.1,4158874,4159655,22034,0.0302
JBQVBD010000010.1,1116070,1116426,21575,0.0296
JBQVBD010000008.1,1078583,1078809,19062,0.0262
JBQVBD010000015.1,2098419,2098726,17105,0.0235
JBQVBD010000017.1,4023701,4027062,16683,0.0229
JBQVBD010000016.1,5042683,5043772,16491,0.0226
JBQVBD010000011.1,700937,703023,16326,0.0224
JBQVBD010000015.1,1119969,1121165,15671,0.0215
JBQVBD010000007.1,192087,193974,15091,0.0207
JBQVBD010000016.1,3746571,3747054,14875,0.0204
JBQVBD010000008.1,1090120,1090613,14490,0.0199
JBQVBD010000010.1,892341,892634,12676,0.0174
JBQVBD010000016.1,2448771,2450380,12491,0.0171
JBQVBD010000004.1,900580,901971,12420,0.0170
JBQVBD010000017.1,3137955,3138852,12200,0.0167
JBQVBD010000015.1,1708425,1708785,11938,0.0164
JBQVBD010000010.1,2294600,2295375,11763,0.0161
JBQVBD010000017.1,2893845,2894218,10922,0.0150
JBQVBD010000010.1,2594668,2596818,10484,0.0144
JBQVBD010000017.1,4327491,4330108,10225,0.0140
JBQVBD010000011.1,1854833,1855282,10103,0.0139
JBQVBD010000010.1,2197528,2197816,9799,0.0134
JBQVBD010000011.1,685826,686371,9708,0.0133
CM148777.1,7224,9554,9649,0.0132
JBQVBD010000017.1,821691,823495,9606,0.0132
CM148777.1,47153,52708,9563,0.0131
CM148777.1,42023,46078,9529,0.0131
JBQVBD010000012.1,1476487,1478793,9424,0.0129
JBQVBD010000017.1,1303206,1304071,9208,0.0126
JBQVBD010000014.1,2164942,2166717,9195,0.0126
JBQVBD010000017.1,891261,891549,9168,0.0126
JBQVBD010000008.1,1636713,1637079,9132,0.0125
JBQVBD010000016.1,4692471,4692843,9055,0.0124
JBQVBD010000016.1,2740387,2740874,8747,0.0120
JBQVBD010000013.1,932637,933002,8579,0.0118
JBQVBD010000012.1,1292496,1292663,8498,0.0117
JBQVBD010000004.1,630877,632616,8285,0.0114
JBQVBD010000011.1,628014,628537,8153,0.0112
JBQVBD010000017.1,4527681,4529608,8108,0.0111
JBQVBD010000016.1,1761631,1761945,8047,0.0110
JBQVBD010000010.1,1044489,1045866,7847,0.0108
JBQVBD010000016.1,3893203,3895661,7757,0.0106
JBQVBD010000009.1,482758,482961,7711,0.0106
JBQVBD010000015.1,2940627,2940942,7679,0.0105
JBQVBD010000016.1,2561915,2562167,7611,0.0104
JBQVBD010000009.1,1207929,1208600,7394,0.0101
JBQVBD010000015.1,2132907,2133746,7183,0.0099
JBQVBD010000016.1,2203108,2203710,7162,0.0098
JBQVBD010000017.1,3035081,3036929,7150,0.0098
JBQVBD010000016.1,2694596,2695147,7122,0.0098
JBQVBD010000010.1,2302566,2303131,7076,0.0097
JBQVBD010000012.1,2535504,2539169,7036,0.0097
JBQVBD010000009.1,1936669,1937262,7020,0.0096
JBQVBD010000016.1,3367220,3368341,7005,0.0096
JBQVBD010000015.1,3392002,3394658,6943,0.0095
JBQVBD010000007.1,886881,887089,6790,0.0093
JBQVBD010000017.1,3062691,3063080,6704,0.0092
JBQVBD010000017.1,1999435,2000815,6629,0.0091
JBQVBD010000009.1,1540803,1541699,6568,0.0090
JBQVBD010000015.1,747538,749042,6520,0.0089
JBQVBD010000011.1,1761746,1762852,6439,0.0088
JBQVBD010000015.1,534001,534597,6432,0.0088
JBQVBD010000004.1,504520,504764,6290,0.0086
JBQVBD010000017.1,3569235,3570030,6261,0.0086
JBQVBD010000014.1,1169634,1170400,6213,0.0085
JBQVBD010000017.1,4608879,4613135,6062,0.0083
JBQVBD010000014.1,253364,253795,5988,0.0082
JBQVBD010000010.1,1253562,1253816,5939,0.0081
JBQVBD010000017.1,3798032,3798251,5892,0.0081
JBQVBD010000017.1,3781108,3781525,5884,0.0081
JBQVBD010000008.1,1485537,1486832,5758,0.0079
JBQVBD010000016.1,3016917,3017230,5735,0.0079
JBQVBD010000017.1,3302524,3305476,5676,0.0078
JBQVBD010000010.1,2200969,2201258,5606,0.0077
JBQVBD010000010.1,2226354,2228568,5503,0.0075
JBQVBD010000012.1,780455,781305,5501,0.0075
JBQVBD010000015.1,1658775,1659030,5463,0.0075
JBQVBD010000016.1,2370247,2370849,5450,0.0075
JBQVBD010000017.1,3131400,3131867,5424,0.0074
JBQVBD010000012.1,1206344,1206921,5357,0.0073
JBQVBD010000012.1,580963,581698,5276,0.0072
JBQVBD010000015.1,3503534,3504608,5229,0.0072
JBQVBD010000016.1,1758521,1759591,4991,0.0068
JBQVBD010000009.1,1530424,1530853,4922,0.0068
JBQVBD010000016.1,4071361,4073164,4908,0.0067
JBQVBD010000010.1,1260520,1261012,4896,0.0067
JBQVBD010000015.1,451823,452164,4883,0.0067
JBQVBD010000012.1,1735749,1736497,4881,0.0067
JBQVBD010000008.1,1288063,1288649,4836,0.0066
JBQVBD010000009.1,196017,196204,4810,0.0066
JBQVBD010000010.1,2583706,2585634,4798,0.0066
JBQVBD010000015.1,690268,691608,4662,0.0064
JBQVBD010000008.1,764608,764877,4649,0.0064
